AttID;AttName
25;General / Plant height at maturity / < 1 cm      < .4 in
26;General / Plant height at maturity / 1-5 cm      .4 - 2.0 in
27;General / Plant height at maturity / 5-10 cm     2.0 - 3.9 in
28;General / Plant height at maturity / 1-2 dm      3.9 - 7.9 in
29;General / Plant height at maturity / 2-3 dm      7.9 - 11.8 in
513;General / Plant height at maturity / 3-4 dm      11.8 - 15.75 in
30;General / Plant height at maturity / 4-6 dm      15.75 - 23.6 in
31;General / Plant height at maturity / 6-8 dm      23.6 - 31.5 in
32;General / Plant height at maturity / 8-10 dm      31.5 - 39.4 in
33;General / Plant height at maturity / 1-1.4 m    3.3 - 4 ft
629;General / Plant height at maturity / 1.4-2 m    4 - 6.6 ft
35;General / Plant height at maturity / 2-2.5 m     6.6 - 8.2 ft
36;General / Plant height at maturity / 2.5-5 m     8.2 - 16.5 ft
37;General / Plant height at maturity / 5-10 m       16.5 - 33 ft
38;General / Plant height at maturity / Over 10 m     Over 33 ft
0;General / Milky Juice / Juice milky
1;General / Milky Juice / Juice NOT milky
3;General / Spines or Thorns / Spines on flower/head or fruit
5;General / Spines or Thorns / Spines on leaves
6;General / Spines or Thorns / Spines on stems
310;General / Spines or Thorns / NO spines or thorns
22;General / Chlorophyll / Chlorophyll present
2;General / Chlorophyll / Chlorophyll absent
2955;General / Woody plant habit /         Tree
2956;General / Woody plant habit /         Shrub erect or spreading
2958;General / Woody plant habit /         Cactus
2960;General / Woody plant habit /         Vine
2959;General / Woody plant habit /         Parasite on a shrub or tree stem
2962;General / Herbaceous plant habit /         Mat-forming
2963;General / Herbaceous plant habit /         Prostrate
2964;General / Herbaceous plant habit /         Decumbent
2965;General / Herbaceous plant habit /         Erect and ascending or spreading
2966;General / Herbaceous plant habit /         Erect and columnar
2967;General / Herbaceous plant habit /         Vine without tendrils
2968;General / Herbaceous plant habit /           Vine with tendrils
2969;General / Herbaceous plant habit /           Floating in water
9;General / Annual vs biennial or perennial / Annual
10;General / Annual vs biennial or perennial / Biennial
11;General / Annual vs biennial or perennial / Perennial
305;General / Aquatic / Whether aquatic / NOT aquatic, not growing in water
625;General / Aquatic / Whether aquatic / Aquatic, rooted, NOT free-floating
534;General / Aquatic / Whether aquatic / Aquatic and free-floating
581;General / Aquatic / Aquatic plant leaf arrangement / All leaves floating or above water
627;General / Aquatic / Aquatic plant leaf arrangement / All leaves submerged
628;General / Aquatic / Aquatic plant leaf arrangement / Leaves both submerged and floating
2590;General / Aquatic / Aquatic plant leaf arrangement /       Those below different than above
2591;General / Aquatic / Aquatic plant leaf arrangement /       Those above and below look alike
675;General / Aquatic / Submerged leaf shape / Linear
678;General / Aquatic / Submerged leaf shape / Lanceolate
2668;General / Aquatic / Submerged leaf shape / Ovate - egg-shaped
679;General / Aquatic / Submerged leaf shape / Pinnately compound
680;General / Aquatic / Submerged leaf shape / Palmately dissected
