ItemID;CommonName;Genus;Species;Family
616;velvetleaf;Abutilon;theophrasti;Malvaceae
1625;three-seed-mercury, slender;Acalypha;gracilens;Euphorbiaceae
1284;three-seed-mercury, common;Acalypha;rhomboidea;Euphorbiaceae
1215;maple, amur;Acer;ginnala;Sapindaceae
0;box-elder;Acer;negundo;Sapindaceae
1109;maple, black;Acer;nigrum;Sapindaceae
1222;maple, striped;Acer;pensylvanicum;Sapindaceae
353;maple, Norway;Acer;platanoides;Sapindaceae
1111;maple, red;Acer;rubrum;Sapindaceae
1112;maple, silver;Acer;saccharinum;Sapindaceae
1113;maple, sugar;Acer;saccharum;Sapindaceae
1114;maple, mountain;Acer;spicatum;Sapindaceae
771;yarrow, common;Achillea;millefolium;Asteraceae
1152;yarrow, pearl;Achillea;ptarmica;Asteraceae
94;lotus, prairie;Acmispon;americanus;Fabaceae
180;monkshood, Columbia;Aconitum;columbianum;Ranunculaceae
1459;Venus'-chariot;Aconitum;napellus;Ranunculaceae
184;sweetflag;Acorus;calamus;Acoraceae
776;knapweed, Russian;Acroptilon;repens;Asteraceae
1460;baneberry, white;Actaea;pachypoda;Ranunculaceae
181;baneberry, wild red;Actaea;rubra;Ranunculaceae
800;trail-plant;Adenocaulon;bicolor;Asteraceae
1314;Allegheny-vine;Adlumia;fungosa;Papaveraceae
596;muskroot;Adoxa;moschatellina;Adoxaceae
159;goutweed, bishop's;Aegopodium;podagraria;Apiaceae
1335;buckeye, Ohio;Aesculus;glabra;Sapindaceae
1122;parsley, fool's;Aethusa;cynapium;Apiaceae
1533;foxglove, tall false;Agalinis;aspera;Orobanchaceae
1534;foxglove, earleaf, false;Agalinis;auriculata;Orobanchaceae
1535;foxglove, roundstem false;Agalinis;gattingeri;Orobanchaceae
1536;foxglove, smallflower false;Agalinis;paupercula;Orobanchaceae
1537;foxglove, purple false;Agalinis;purpurea;Orobanchaceae
1687;foxglove, Skinner's false;Agalinis;skinneriana;Orobanchaceae
809;foxglove, slenderleaf false;Agalinis;tenuifolia;Orobanchaceae
599;hyssop, blue giant;Agastache;foeniculum;Lamiaceae
1345;hyssop, yellow giant;Agastache;nepetoides;Lamiaceae
1346;hyssop, purple giant;Agastache;scrophulariaefolia;Lamiaceae
1186;snakeroot, white;Ageratina;altissima;Asteraceae
214;agrimony, tall hairy;Agrimonia;gryposepala;Rosaceae
1672;agrimony, swamp or harvestlice;Agrimonia;parviflora;Rosaceae
1673;groovebur, soft;Agrimonia;pubescens;Rosaceae
564;agrimony, grooved;Agrimonia;striata;Rosaceae
618;corncockle, common;Agrostemma;githago;Caryophyllaceae
241;heaven, tree of;Ailanthus;altissima;Simaroubaceae
1347;bugle, blue;Ajuga;genevensis;Lamiaceae
218;bugle, common;Ajuga;reptans;Lamiaceae
221;hollyhock;Alcea;rosea;Malvaceae
1086;mantle, lady's;Alchemilla;vulgaris;Rosaceae
1699;colicroot, white;Aletris;farinosa;Liliaceae
222;waterplantain, narrowleaf;Alisma;gramineum;Alismataceae
1116;waterplantain, American;Alisma;subcordatum;Alismataceae
688;plantain, northern water;Alisma;triviale;Alismataceae
265;mustard, garlic;Alliaria;petiolata;Brassicaceae
602;garlic, meadow;Allium;canadense;Alliaceae
106;onion, nodding;Allium;cernuum;Alliaceae
1717;garlic, cultivated;Allium;sativum;Alliaceae
340;chives, wild;Allium;schoenoprasum;Alliaceae
1366;onion, autumn;Allium;stellatum;Alliaceae
1367;ramp;Allium;tricoccum;Alliaceae
1545;alder, European;Alnus;glutinosa;Betulaceae
12;alder, mountain;Alnus;incana;Betulaceae
13;alder, Sitka;Alnus;viridis;Betulaceae
1771;marshmallow, common;Althaea;officinalis;Malvaceae
24;alyssum, pale;Alyssum;alyssoides;Brassicaceae
1;tumbleweed, white;Amaranthus;albus;Amaranthaceae
627;amaranth, sandhill;Amaranthus;arenicola;Amaranthaceae
2;amaranth, mat;Amaranthus;blitoides;Amaranthaceae
1271;love-lies-bleeding;Amaranthus;caudatus;Amaranthaceae
